video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Onyk7guvHK8&list=RDOnyk7guvHK8&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UC5aqukzSeAj9etVpQpct88A,Taboo,Stand Up / Stand N Rock #NoDAPL (Official Video),5.4M,9 years,UPDATE - The U.S. Army Corps of Engineers has denied the easement for the Dakota Access Pipeline route near the Standing ...,2026-03-17 02:56:51.128617
/watch?v=1Rz_TkpysKk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,132K,9 years,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2026-03-17 02:56:51.130385
/watch?v=J1yD2J8vHAk&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQnFCgGHKiGM7w%3D%3D,/@VICE,VICE,What Really Happened at Standing Rock | I Was There,1.1M,5 years,Correction: An archival source was named incorrectly in the credits of this video. The footage was provided by Digital Smoke ...,2026-03-17 02:56:51.132636
/watch?v=E6oVN_mWLpo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@scandinaviahouse,Scandinavia House,End of the Line — The Women of Standing Rock Trailer,6.4K,2 years,"On April 14 at Scandinavia House, see acclaimed documentary filmmaker Shannon Kring's ""The End of the Line: The Women of ...",2026-03-17 02:56:57.970744
/watch?v=Czd-VP6dlxA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@bullfrogfilms,Bullfrog Films,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",32K,8 years,"A film by Josh Fox, James Spione, and Myron Dewey Available for educational use from Bullfrog Films: ...",2026-03-17 02:56:57.972708
/watch?v=Sb9QF1Uu4n8&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQnFCgGHKiGM7w%3D%3D,/@shocksanddocs,SHOCKS & DOCS,BEYOND STANDING ROCK | FULL DOCUMENTARY | SHOCKS AND DOCS,2.4K,11 months,BEYOND STANDING ROCK | FULL DOCUMENTARY | SHOCKS AND DOCS Beyond Standing Rock shines a spotlight on tribal ...,2026-03-17 02:56:57.975013
/watch?v=tOgMWlNQZ4w&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PennArtsSciences,Penn Arts & Sciences,The Stand at Standing Rock,5K,8 years,"Beginning in April 2016, members of the Standing Rock Sioux Tribe and representatives from hundreds of tribal nations gathered ...",2026-03-17 02:56:57.977542
/watch?v=7Erj_sSe2hg&list=RD7Erj_sSe2hg&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/@BagOnly,BagOnly,Forrest Frank & Crowder - The Rock (Lyrics),1M,6 months,Forrest Frank & Crowder - The Rock (Lyrics) Subscribe and turn on notifications to stay updated with new uploads. Please ...,2026-03-17 02:56:57.979157
/watch?v=BqXlLudFQa0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,"The end of the Standing Rock standoff between authorities, protestors",103K,9 years,Protests had been going for months in an attempt to stop the Dakota Access Pipeline from being built next the Sioux tribe's sacred ...,2026-03-17 02:56:57.984045
/watch?v=eEU8NjqBv4k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@mustangs-warriors-siouxx2l719,Mustangs-Warriors-SiouxX2 Live,Standing Rock Warriors vs Shiloh Christian SkyHawks,1.7K,Streamed 3 months,Here is the KLND SPORTS live broadcast of all your basketball action (be sure to subscribe on the YouTube page and click the ...,2026-03-17 02:56:57.985236
/watch?v=ey1ahaRSOHo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@mustangs-warriors-siouxx2l719,Mustangs-Warriors-SiouxX2 Live,STANDING ROCK WARRIORS VS TURTLE MOUNTAIN BRAVES DOUBLE HEADER,1.6K,Streamed 2 months,"for today this link will remain LIVE, pausing between games for the warm up session , please share and join us in the comment ...",2026-03-17 02:56:57.986313
/watch?v=2uYiHiJTN6Y&list=RD2uYiHiJTN6Y&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UCr-Od38IMpigVVgRYZ42FqA,I AM THEY,I AM THEY - My Feet Are on the Rock (Official Music Video),4.8M,7 years,"Download or Stream ""My Feet Are On The Rock"" now! iTunes: http://smarturl.it/TrialAndTriumph?",2026-03-17 02:56:57.988341
/watch?v=GyVBooq7ht4&list=RDGyVBooq7ht4&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UCLtNLP4wxWCVUv8bSgIfNvw,Forrest Frank,Forrest Frank/Crowder - THE ROCK (Official Audio),1M,6 months,"Hope this one blesses y'all! Performed/Written by: Forrest Frank & Crowder Produced: Forrest Frank Mix: Jacob ""Biz"" Morris.",2026-03-17 02:56:57.989721
/watch?v=4d6qwzO0C4k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@FoxNews,Fox News,Veterans to stand with Standing Rock protesters,38K,9 years,"Hundreds of veterans of the US Military are deploying to the Standing Rock Indian Reservation in North Dakota, joining protests ...",2026-03-17 02:56:57.993829
/watch?v=wD3-6JIUF7M&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQnFCgGHKiGM7w%3D%3D,/@TED,TED,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,243K,7 years,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2026-03-17 02:56:57.995477
/watch?v=yb7e-bDEEYY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@SmithsonianNMAI,SmithsonianNMAI,Standing Rock Dancers,14K,13 years,Standing Rock Indian Reservation straddles the border between North and South Dakota. Their youth program reaches over 500 ...,2026-03-17 02:56:57.997870
/watch?v=9-EQ7BuhQq4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PBSNewsHour,PBS NewsHour,"Tribes across North America converge at Standing Rock, hoping to be heard",134K,9 years,Protestors of the North Dakota pipeline celebrated after the Department of Justice temporarily halted the project in federal ...,2026-03-17 02:56:57.999914
/watch?v=3HR0nRnUvHY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@mustangs-warriors-siouxx2l719,Mustangs-Warriors-SiouxX2 Live,GIRLS REGION 4 A BBALL TOURNEY STANDING ROCK LADY WARRIORS VS HAZEN BISON,876,Streamed 3 weeks,Please share and join us in the comment section Here is the KLND SPORTS live broadcast of all your basketball action (be sure ...,2026-03-17 02:57:05.579556
/watch?v=7lxrC2pc3ww&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KyleTurnerHunter,"Kyle Turner, Hunter",TURKEY HUNTING SOUTH DAKOTA | STANDING ROCK RESERVATION,3.3K,3 years,My long time friend and me headed out to the Standing Rock Reservation to turkey hunt some new country. What a adventure we ...,2026-03-17 02:57:05.581132
/watch?v=lhtkz8PBG7g&list=RDlhtkz8PBG7g&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UCSBBlaJJ-tk9zg_1VTh0ndw,ZEE,ZEE - Standing On The Rock (Official Music Video),437K,5 years,ZEE - Standing On The Rock (Official Music Video) Subscribe to this channel: ...,2026-03-17 02:57:05.582926
/watch?v=5Vf7zk38mi4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CNN,CNN,Police have their say about Standing Rock,4.1K,9 years,Police at the Dakota Access Pipeline protests give their side of the story about confrontations with protestors to CNN's Sara ...,2026-03-17 02:57:05.585914
/watch?v=AeUIyI83b7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@LauraFlandersAndFriends,Laura Flanders & Friends,RISE With Standing Rock,37K,9 years,"There's a revolution happening in Standing Rock, at the Očhéthi Šakówiŋ camp, and across the country. Over 200 indigenous ...",2026-03-17 02:57:05.587505
/watch?v=rDzFZ4BTx9U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ndgnf,North Dakota Game and Fish Department,Standing Rock Elk - NDGNF,4.6K,10 years,"The Standing Rock Sioux Tribe, UND and the North Dakota Game and Fish Department are partnering in a study of the Sioux ...",2026-03-17 02:57:05.589658
/watch?v=X2obKg3oXXc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBSMornings,CBS Mornings,Standing Rock Sioux chairman urges protesters to leave,1.8K,9 years,A transition spokesman said President-elect Donald Trump will review the Dakota Access Pipeline when he takes office. The Army ...,2026-03-17 02:57:05.590881
/watch?v=YYcl7AKSjxI&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQnFCgGHKiGM7w%3D%3D,/@DemocracyNow,Democracy Now!,"Standing Rock Special: Dakota Excess Pipeline? Media & Water Protectors Face Strip Searches, Jail",14K,9 years,http://democracynow.org - Today we're revisiting Democracy Now! reports on the ongoing standoff at Standing Rock in North ...,2026-03-17 02:57:05.592274
/watch?v=XvhEBZVi8ew&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Arrests At Standing Rock As Protesters’ Eviction Deadline Passes | NBC Nightly News,2.2K,9 years,The “water protectors” protesting the Dakota Access pipeline were ordered by law enforcement to leave their Standing Rock Sioux ...,2026-03-17 02:57:05.595864
/watch?v=_rsAyaSdkJc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Veterans Stand Ground With Pipeline Protesters At Standing Rock | NBC News,34K,9 years,We follow native activist and veteran Dustin Monroe to Standing Rock where veterans join tribes to protest the pipeline.,2026-03-17 02:57:05.597841
/watch?v=VRqaZsl3lFE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@mustangs-warriors-siouxx2l719,Mustangs-Warriors-SiouxX2 Live,STANDING ROCK WARRIORS VS DUNSEITH DRAGONS DOUBLE HEADER,1.1K,Streamed 2 months,"for today this link will remain LIVE, pausing between games for the warm up session , please share and join us in the comment ...",2026-03-17 02:57:05.599903
/watch?v=RX-3jdXa46U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Standing Rock and the Battle Beyond | Fault Lines,55K,9 years,"For months, Native Americans have been protesting against the Dakota Access oil pipeline, a multibillion-dollar construction ...",2026-03-17 02:57:05.604434
/watch?v=9PxgcUfY7LE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Report from Standing Rock: 100+ Militarized Police Deployed Against Native American Water Protectors,58K,9 years,"http://democracynow.org - On Saturday, hundreds of people temporarily stopped work at multiple construction sites at the site of ...",2026-03-17 02:57:05.607407
