video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=tjnBmH8b0Ko&pp=ygULbWlkZGxlIGVhc3Q%3D,/@TheGreatWar,The Great War,How WW1 Created the Middle East Conflicts (Documentary),2.9M,2 years,Support us and get 40% off Nebula: https://go.nebula.tv/the-great-war Watch Red Atoms on Nebula: https://nebula.tv/redatoms ...,2026-03-17 03:12:15.001771
/watch?v=7NHoPXOYQ0Q&pp=ygULbWlkZGxlIGVhc3Q%3D,/@France24_en,FRANCE 24 English,"Europe refuses to join Middle East war, weighs options to secure Strait of Hormuz • FRANCE 24",142K,11 hours,The European Union is weighing options on how to help keep the Strait of Hormuz open as energy and commodity prices rise in ...,2026-03-17 03:12:15.006131
/watch?v=Hy660kT98j8&pp=ygULbWlkZGxlIGVhc3TSBwkJwwoBhyohjO8%3D,/@CBSNews,CBS News,"Lawmakers react to Pentagon sending 5,000 more troops to Middle East",19K,11 hours,The Pentagon is sending 5000 more service members to the Middle East amid lawmakers' concerns and frustrations over the ...,2026-03-17 03:12:15.008480
/watch?v=JruGQ-mmypI&pp=ygULbWlkZGxlIGVhc3Q%3D,/@CBSNews,CBS News,"Iran war enters third week, more strikes across Middle East",13K,23 hours,"With week three of the war underway, Iran launched one of the heaviest waves of missile strikes in a 24-hour period since fighting ...",2026-03-17 03:12:15.011540
/watch?v=02g7UbiwdW4&pp=ygULbWlkZGxlIGVhc3Q%3D,/@ABCNews,ABC News,"Trump orders 2,000 additional Marines to Middle East",17K,14 hours,The war with Iran is escalating as President Donald Trump refuses to rule out sending more U.S. troops to the Middle East amid ...,2026-03-17 03:12:15.012863
/shorts/domh0TYtgrw,/@FoxNews,Fox News,WATCH: US strikes Iranian combat power #shorts #us #centcom #iran #foxnews,25K,12 hours,... #world #military #defense #operationepicfury #iran #middleeast #centcom #video #airstrikes #missiles #navy #nationalsecurity ...,2026-03-17 03:12:15.014672
/shorts/7R3of2oR9WU,/@TheArizonaRepublic1,azcentral.com and The Arizona Republic,"Pope Leo calls for ceasefire, decries ‘atrocious violence’ in Middle East",618,4 hours,"Pope Leo made an impassioned plea for an immediate ceasefire in the expanding Iran war, criticizing \""atrocious violence ...",2026-03-17 03:12:15.019065
/watch?v=cMBtTplEsAs&pp=ygULbWlkZGxlIGVhc3TSBwkJwwoBhyohjO8%3D,/@TimesNow,Times Now,"Iran's First Sejjil Missile Leaves US, Israel In Shock? Middle East War Escalates Dramatically",60K,1 day,sejjil #iranwar #middleeast #middleeasttensions #sejjil #middleeastwar Iran's Revolutionary Guards said they launched the Sejjil ...,2026-03-17 03:12:15.022210
/watch?v=xwXs90Ls5RU&pp=ygULbWlkZGxlIGVhc3Q%3D,/@GMA,Good Morning America,"Trump orders 2,000 additional Marines to Middle East",2.4K,12 hours,The war with Iran is escalating as President Donald Trump refuses to rule out sending more U.S. troops to the Middle East amid ...,2026-03-17 03:12:15.023809
/shorts/1JV5pUUraCU,/@bulwarkmedia,The Bulwark,"Bill Kristol's advice to Democrats: ""No blank check for ground troops in the Middle East""",3.7K,2 hours,"""I think the Democrats just have to say: no blank check for ground troops in the Middle East... End the war — it's not working.",2026-03-17 03:12:15.025497
/watch?v=zm4PwZ0VPQ4&pp=ygULbWlkZGxlIGVhc3Q%3D,/@ABCNews,ABC News,Pleas for aid increase as refugee crisis expands across the Middle East,182,26 minutes,ABC News' Linsey Davis spoke with Eurasia regional director for the Norwegian Refugee Council Carlo Gherardi on the situation ...,2026-03-17 03:12:15.026889
/watch?v=_Ju3i844iAQ&pp=ygULbWlkZGxlIGVhc3Q%3D,/@markets,Bloomberg Television,Trump Seeks Help on Hormuz; Oil Gains in Choppy Session | Horizons Middle East & Africa 3/16/2026,8.7K,19 hours,Pressure is growing on US President Donald Trump to end the US-Israeli war on Iran as it enters its third week. Trump's ...,2026-03-17 03:12:15.029674
/watch?v=AjLzG7gERq0&pp=ygULbWlkZGxlIGVhc3Q%3D,/@7news,7NEWS Australia,Iran's supreme leader injured as Middle East conflict intensifies | 7NEWS,76K,1 day,"Iran launches a fresh barrage of missiles into Israel and Lebanon as Middle East tensions escalate, with reports emerging that ...",2026-03-17 03:12:15.031259
/watch?v=bD2D6ZfkZrQ&pp=ygULbWlkZGxlIGVhc3Q%3D,/@France24_en,FRANCE 24 English,"Middle East conflict is not NATO war, but 'entwined' with US position on Ukraine • FRANCE 24",6.5K,12 hours,US President Donald Trump said he has demanded about seven countries send warships to keep the Strait of Hormuz open as ...,2026-03-17 03:12:15.032523
/watch?v=HJFN_tjpycc&pp=ygULbWlkZGxlIGVhc3Q%3D,/@AlanPolitics,Rachel Politics,Trump’s Middle East Strategy FALLS APART — Saudi Arabia Turns to China! /RACHELMADDOW,51K,1 day,usa #geopolitics #trump #middleeast #china #politics #iran #donaldtrump Trump called it a historic breakthrough in the Middle ...,2026-03-17 03:12:15.033810
/watch?v=bLOEhycMG78&pp=ygULbWlkZGxlIGVhc3Q%3D,/@johnnyharris,Johnny Harris,"The Modern Middle East, Explained",2.1M,3 days,"Get 40% off Ground News' unlimited access Vantage Plan at https://ground.news/johnnyharris for only $5/month, explore how ...",2026-03-17 03:12:21.973552
